"","PHASE","TYPE","ORIGINAL","ACTUAL","UP","DP","position","position_UP","position_DP","phoneme","phon_prob","error"
"1","Pre","ORIGINAL","@JEnt@","@JEnt@",3,4,1,-2,-3,"@",0.0303408269995788,1.93931834600084
"2","Pre","ORIGINAL","@JEnt@","@JEnt@",3,4,2,-1,-2,"J",0.0203102366646801,1.95937952667064
"3","Pre","ORIGINAL","@JEnt@","@JEnt@",3,4,3,0,-1,"E",0.0584242677387354,1.88315146452253
"4","Pre","ORIGINAL","@JEnt@","@JEnt@",3,4,4,1,0,"n",1,0
"5","Pre","ORIGINAL","@JEnt@","@JEnt@",3,4,5,2,1,"t",1,0
"6","Pre","ORIGINAL","@JEnt@","@JEnt@",3,4,6,3,2,"@",1,0
"7","Pre","ORIGINAL","alb!no","alb!no",4,5,1,-3,-4,"a",0.0215648751378617,1.95687024972428
"8","Pre","ORIGINAL","alb!no","alb!no",4,5,2,-2,-3,"l",0.124467181991385,1.75106563601723
"9","Pre","ORIGINAL","alb!no","alb!no",4,5,3,-1,-2,"b",0.117126223997662,1.76574755200468
"10","Pre","ORIGINAL","alb!no","alb!no",4,5,4,0,-1,"!",0.0910886970988874,1.81782260580223
"11","Pre","ORIGINAL","alb!no","alb!no",4,5,5,1,0,"n",1,0
"12","Pre","ORIGINAL","alb!no","alb!no",4,5,6,2,1,"o",1,0
"13","Pre","ORIGINAL","antEn@","antEn@",4,6,1,-3,-5,"a",0.0215648751378617,1.95687024972428
"14","Pre","ORIGINAL","antEn@","antEn@",4,6,2,-2,-4,"n",0.206586428787764,1.58682714242447
"15","Pre","ORIGINAL","antEn@","antEn@",4,6,3,-1,-3,"t",0.418710938370875,1.16257812325825
"16","Pre","ORIGINAL","antEn@","antEn@",4,6,4,0,-2,"E",0.0520835249747034,1.89583295005059
"17","Pre","ORIGINAL","antEn@","antEn@",4,6,5,1,-1,"n",1,0
"18","Pre","ORIGINAL","antEn@","antEn@",4,6,6,2,0,"@",0.716354645001766,0.567290709996468
"19","Pre","ORIGINAL","baC@l#","baC@l#",4,5,1,-3,-4,"b",0.0572676023284867,1.88546479534303
"20","Pre","ORIGINAL","baC@l#","baC@l#",4,5,2,-2,-3,"a",0.108046824260702,1.7839063514786
"21","Pre","ORIGINAL","baC@l#","baC@l#",4,5,3,-1,-2,"C",0.0155629276815242,1.96887414463695
"22","Pre","ORIGINAL","baC@l#","baC@l#",4,5,4,0,-1,"@",1,0
"23","Pre","ORIGINAL","baC@l#","baC@l#",4,5,5,1,0,"l",1,0
"24","Pre","ORIGINAL","baC@l#","baC@l#",4,5,6,2,1,"#",1,0
"25","Pre","ORIGINAL","bArg@n","bArg@n",4,5,1,-3,-4,"b",0.0572676023284867,1.88546479534303
"26","Pre","ORIGINAL","bArg@n","bArg@n",4,5,2,-2,-3,"A",0.0700420016045557,1.85991599679089
"27","Pre","ORIGINAL","bArg@n","bArg@n",4,5,3,-1,-2,"r",0.318756411395523,1.36248717720895
"28","Pre","ORIGINAL","bArg@n","bArg@n",4,5,4,0,-1,"g",0.0737436890156172,1.85251262196877
"29","Pre","ORIGINAL","bArg@n","bArg@n",4,5,5,1,0,"@",1,0
"30","Pre","ORIGINAL","bArg@n","bArg@n",4,5,6,2,1,"n",1,0
"31","Pre","ORIGINAL","be@n@t","be@n@t",3,4,1,-2,-3,"b",0.0572676023284867,1.88546479534303
"32","Pre","ORIGINAL","be@n@t","be@n@t",3,4,2,-1,-2,"e",0.0309259005400206,1.93814819891996
"33","Pre","ORIGINAL","be@n@t","be@n@t",3,4,3,0,-1,"@",0.0426160651228488,1.9147678697543
"34","Pre","ORIGINAL","be@n@t","be@n@t",3,4,4,1,0,"n",0.679459223724379,0.641081552551243
"35","Pre","ORIGINAL","be@n@t","be@n@t",3,4,5,2,1,"@",1,0
"36","Pre","ORIGINAL","be@n@t","be@n@t",3,4,6,3,2,"t",1,0
"37","Pre","ORIGINAL","bIkini","bIkini",4,5,1,-3,-4,"b",0.0572676023284867,1.88546479534303
"38","Pre","ORIGINAL","bIkini","bIkini",4,5,2,-2,-3,"I",0.101103300575528,1.79779339884894
"39","Pre","ORIGINAL","bIkini","bIkini",4,5,3,-1,-2,"k",0.0674161049584067,1.86516779008319
"40","Pre","ORIGINAL","bIkini","bIkini",4,5,4,0,-1,"i",0.138476755687438,1.72304648862512
"41","Pre","ORIGINAL","bIkini","bIkini",4,5,5,1,0,"n",1,0
"42","Pre","ORIGINAL","bIkini","bIkini",4,5,6,2,1,"i",1,0
"43","Pre","ORIGINAL","brambL","brambL",4,5,1,-3,-4,"b",0.0572676023284867,1.88546479534303
"44","Pre","ORIGINAL","brambL","brambL",4,5,2,-2,-3,"r",0.157407698721075,1.68518460255785
"45","Pre","ORIGINAL","brambL","brambL",4,5,3,-1,-2,"a",0.100490764700634,1.79901847059873
"46","Pre","ORIGINAL","brambL","brambL",4,5,4,0,-1,"m",0.0619428165512342,1.87611436689753
"47","Pre","ORIGINAL","brambL","brambL",4,5,5,1,0,"b",1,0
"48","Pre","ORIGINAL","brambL","brambL",4,5,6,2,1,"L",1,0
"49","Pre","ORIGINAL","bVf@lo","bVf@lo",5,6,1,-4,-5,"b",0.0572676023284867,1.88546479534303
"50","Pre","ORIGINAL","bVf@lo","bVf@lo",5,6,2,-3,-4,"V",0.0693784931109728,1.86124301377805
"51","Pre","ORIGINAL","bVf@lo","bVf@lo",5,6,3,-2,-3,"f",0.052328547481962,1.89534290503608
"52","Pre","ORIGINAL","bVf@lo","bVf@lo",5,6,4,-1,-2,"@",0.467017035157666,1.06596592968467
"53","Pre","ORIGINAL","bVf@lo","bVf@lo",5,6,5,0,-1,"l",0.682188591385332,0.635622817229336
"54","Pre","ORIGINAL","bVf@lo","bVf@lo",5,6,6,1,0,"o",1,0
"55","Pre","ORIGINAL","kab#re","kab#re",4,5,1,-3,-4,"k",0.0907076580230358,1.81858468395393
"56","Pre","ORIGINAL","kab#re","kab#re",4,5,2,-2,-3,"a",0.111140393596807,1.77771921280639
"57","Pre","ORIGINAL","kab#re","kab#re",4,5,3,-1,-2,"b",0.0278997625552123,1.94420047488958
"58","Pre","ORIGINAL","kab#re","kab#re",4,5,4,0,-1,"#",0.110363565791176,1.77927286841765
"59","Pre","ORIGINAL","kab#re","kab#re",4,5,5,1,0,"r",1,0
"60","Pre","ORIGINAL","kab#re","kab#re",4,5,6,2,1,"e",1,0
"61","Pre","ORIGINAL","kanj@n","kanj@n",4,5,1,-3,-4,"k",0.0907076580230358,1.81858468395393
"62","Pre","ORIGINAL","kanj@n","kanj@n",4,5,2,-2,-3,"a",0.111140393596807,1.77771921280639
"63","Pre","ORIGINAL","kanj@n","kanj@n",4,5,3,-1,-2,"n",0.183981412924145,1.63203717415171
"64","Pre","ORIGINAL","kanj@n","kanj@n",4,5,4,0,-1,"j",0.0367426378303654,1.92651472433927
"65","Pre","ORIGINAL","kanj@n","kanj@n",4,5,5,1,0,"@",1,0
"66","Pre","ORIGINAL","kanj@n","kanj@n",4,5,6,2,1,"n",1,0
"67","Pre","ORIGINAL","k@sino","k@sino",4,5,1,-3,-4,"k",0.0907076580230358,1.81858468395393
"68","Pre","ORIGINAL","k@sino","k@sino",4,5,2,-2,-3,"@",0.212804966940152,1.5743900661197
"69","Pre","ORIGINAL","k@sino","k@sino",4,5,3,-1,-2,"s",0.00354692086266183,1.99290615827468
"70","Pre","ORIGINAL","k@sino","k@sino",4,5,4,0,-1,"i",0.490601503759398,1.0187969924812
"71","Pre","ORIGINAL","k@sino","k@sino",4,5,5,1,0,"n",1,0
"72","Pre","ORIGINAL","k@sino","k@sino",4,5,6,2,1,"o",1,0
"73","Pre","ORIGINAL","COkl@t","COkl@t",3,5,1,-2,-4,"C",0.00901120843793784,1.98197758312412
"74","Pre","ORIGINAL","COkl@t","COkl@t",3,5,2,-1,-3,"O",0.0276388278937578,1.94472234421248
"75","Pre","ORIGINAL","COkl@t","COkl@t",3,5,3,0,-2,"k",0.441674202299444,1.11665159540111
"76","Pre","ORIGINAL","COkl@t","COkl@t",3,5,4,1,-1,"l",0.450545014129996,1.09890997174001
"77","Pre","ORIGINAL","COkl@t","COkl@t",3,5,5,2,0,"@",1,0
"78","Pre","ORIGINAL","COkl@t","COkl@t",3,5,6,3,1,"t",1,0
"79","Pre","ORIGINAL","kobOlt","kobOlt",4,5,1,-3,-4,"k",0.0907076580230358,1.81858468395393
"80","Pre","ORIGINAL","kobOlt","kobOlt",4,5,2,-2,-3,"o",0.0442236868194408,1.91155262636112
"81","Pre","ORIGINAL","kobOlt","kobOlt",4,5,3,-1,-2,"b",0.0146135275387194,1.97077294492256
"82","Pre","ORIGINAL","kobOlt","kobOlt",4,5,4,0,-1,"O",0.442371020856202,1.1152579582876
"83","Pre","ORIGINAL","kobOlt","kobOlt",4,5,5,1,0,"l",1,0
"84","Pre","ORIGINAL","kobOlt","kobOlt",4,5,6,2,1,"t",1,0
"85","Pre","ORIGINAL","kAstum","kAstum",4,5,1,-3,-4,"k",0.0907076580230358,1.81858468395393
"86","Pre","ORIGINAL","kAstum","kAstum",4,5,2,-2,-3,"A",0.147578407402455,1.70484318519509
"87","Pre","ORIGINAL","kAstum","kAstum",4,5,3,-1,-2,"s",0.00788098013531539,1.98423803972937
"88","Pre","ORIGINAL","kAstum","kAstum",4,5,4,0,-1,"t",1,0
"89","Pre","ORIGINAL","kAstum","kAstum",4,5,5,1,0,"u",1,0
"90","Pre","ORIGINAL","kAstum","kAstum",4,5,6,2,1,"m",1,0
"91","Pre","ORIGINAL","kuskus","kuskus",3,4,1,-2,-3,"k",0.0907076580230358,1.81858468395393
"92","Pre","ORIGINAL","kuskus","kuskus",3,4,2,-1,-2,"u",0.00811093324858359,1.98377813350283
"93","Pre","ORIGINAL","kuskus","kuskus",3,4,3,0,-1,"s",0.0343227761208162,1.93135444775837
"94","Pre","ORIGINAL","kuskus","kuskus",3,4,4,1,0,"k",1,0
"95","Pre","ORIGINAL","kuskus","kuskus",3,4,5,2,1,"u",1,0
"96","Pre","ORIGINAL","kuskus","kuskus",3,4,6,3,2,"s",1,0
"97","Pre","ORIGINAL","kr@vas","kr@vas",4,5,1,-3,-4,"k",0.0907076580230358,1.81858468395393
"98","Pre","ORIGINAL","kr@vas","kr@vas",4,5,2,-2,-3,"r",0.11244781914254,1.77510436171492
"99","Pre","ORIGINAL","kr@vas","kr@vas",4,5,3,-1,-2,"@",0.0173363362795011,1.965327327441
"100","Pre","ORIGINAL","kr@vas","kr@vas",4,5,4,0,-1,"v",0.258551673944687,1.48289665211063
"101","Pre","ORIGINAL","kr@vas","kr@vas",4,5,5,1,0,"a",1,0
"102","Pre","ORIGINAL","kr@vas","kr@vas",4,5,6,2,1,"s",0.660098522167488,0.679802955665025
"103","Pre","ORIGINAL","dAlfIn","dAlfIn",4,5,1,-3,-4,"d",0.0609424245886365,1.87811515082273
