,PHASE,TYPE,ORIGINAL,ACTUAL,UP,DP,position,position_UP,position_DP,phoneme,phon_prob,error
1,Original,Original,@JEnt@,@JEnt@,3,3,1,-2,-2,@,0.03034,1.93932
2,Original,Original,@JEnt@,@JEnt@,3,3,2,-1,-1,J,0.02031,1.95938
3,Original,Original,@JEnt@,@JEnt@,3,3,3,0,0,E,0.05842,1.88315
4,Original,Original,@JEnt@,@JEnt@,3,3,4,1,1,n,1,0
5,Original,Original,@JEnt@,@JEnt@,3,3,5,2,2,t,1,0
6,Original,Original,@JEnt@,@JEnt@,3,3,6,3,3,@,1,0
7,Original,Original,alb!no,alb!no,4,4,1,-3,-3,a,0.02156,1.95687
8,Original,Original,alb!no,alb!no,4,4,2,-2,-2,l,0.12447,1.75107
9,Original,Original,alb!no,alb!no,4,4,3,-1,-1,b,0.11713,1.76575
10,Original,Original,alb!no,alb!no,4,4,4,0,0,!,0.09109,1.81782
11,Original,Original,alb!no,alb!no,4,4,5,1,1,n,1,0
12,Original,Original,alb!no,alb!no,4,4,6,2,2,o,1,0
13,Original,Original,antEn@,antEn@,7,7,1,-6,-6,a,0.02156,1.95687
14,Original,Original,antEn@,antEn@,7,7,2,-5,-5,n,0.20659,1.58683
15,Original,Original,antEn@,antEn@,7,7,3,-4,-4,t,0.41871,1.16258
16,Original,Original,antEn@,antEn@,7,7,4,-3,-3,E,0.05208,1.89583
17,Original,Original,antEn@,antEn@,7,7,5,-2,-2,n,1,0
18,Original,Original,antEn@,antEn@,7,7,6,-1,-1,@,0.71635,0.56729
19,Original,Original,baC@l#,baC@l#,7,7,1,-6,-6,b,0.05727,1.88546
20,Original,Original,baC@l#,baC@l#,7,7,2,-5,-5,a,0.10805,1.78391
21,Original,Original,baC@l#,baC@l#,7,7,3,-4,-4,C,0.01556,1.96887
22,Original,Original,baC@l#,baC@l#,7,7,4,-3,-3,@,1,0
23,Original,Original,baC@l#,baC@l#,7,7,5,-2,-2,l,1,0
24,Original,Original,baC@l#,baC@l#,7,7,6,-1,-1,#,1,0
25,Original,Original,bArg@n,bArg@n,7,7,1,-6,-6,b,0.05727,1.88546
26,Original,Original,bArg@n,bArg@n,7,7,2,-5,-5,A,0.07004,1.85992
27,Original,Original,bArg@n,bArg@n,7,7,3,-4,-4,r,0.31876,1.36249
28,Original,Original,bArg@n,bArg@n,7,7,4,-3,-3,g,0.07374,1.85251
29,Original,Original,bArg@n,bArg@n,7,7,5,-2,-2,@,1,0
30,Original,Original,bArg@n,bArg@n,7,7,6,-1,-1,n,1,0
31,Original,Original,be@n@t,be@n@t,7,7,1,-6,-6,b,0.05727,1.88546
32,Original,Original,be@n@t,be@n@t,7,7,2,-5,-5,e,0.03093,1.93815
33,Original,Original,be@n@t,be@n@t,7,7,3,-4,-4,@,0.04262,1.91477
34,Original,Original,be@n@t,be@n@t,7,7,4,-3,-3,n,0.67946,0.64108
35,Original,Original,be@n@t,be@n@t,7,7,5,-2,-2,@,1,0
36,Original,Original,be@n@t,be@n@t,7,7,6,-1,-1,t,1,0
37,Original,Original,bIkini,bIkini,7,7,1,-6,-6,b,0.05727,1.88546
38,Original,Original,bIkini,bIkini,7,7,2,-5,-5,I,0.1011,1.79779
