Position,Original,Actual,Phase,Type,Activation,Gagnepain_Error,MSE,IxW,CxW,HxW,Context,Hidden,Hidden_Abs,Output
1,@JEnt@,@JEnt@,Pre,Original,0.018134029,1.963731942,0.189438595,-6.127352084,30.41745561,-0.033412706,96.41785392,16.25209808,127.5846975,1
2,@JEnt@,@JEnt@,Pre,Original,0.021215058,1.957569885,0.174410391,-1.976601979,51.32028903,-0.186214771,16.25209808,18.24866079,154.0693883,1
3,@JEnt@,@JEnt@,Pre,Original,0.154437505,1.691124991,0.166546605,18.60024909,28.41278376,0.262119835,18.24866079,17.68176973,153.2917257,1
4,@JEnt@,@JEnt@,Pre,Original,0.63913871,0.721722579,0.059923332,5.132046554,24.79937113,-0.74504206,17.68176973,11.9681895,145.9548051,1
5,@JEnt@,@JEnt@,Pre,Original,0.223874783,1.552250434,0.129909273,-1.42108752,-15.98155735,-0.267869873,11.9681895,-2.798239131,155.1075257,1
1,@JEnt@,@JEnt@,Post_Novel1_Day1,Original,0.050732048,1.898535905,0.169913709,-6.120787801,38.59875981,0.079684365,99.70994677,20.35492827,132.1124309,1
2,@JEnt@,@JEnt@,Post_Novel1_Day1,Original,0.038205759,1.923588483,0.170294276,-1.977924996,43.47667113,-0.15634656,20.35492827,15.67809961,155.5416756,1
3,@JEnt@,@JEnt@,Post_Novel1_Day1,Original,0.273437679,1.453124642,0.137429531,18.59439197,18.9005451,0.16425291,15.67809961,11.60809122,150.3105251,1
4,@JEnt@,@JEnt@,Post_Novel1_Day1,Original,0.525015335,0.949969329,0.083867545,5.137630104,21.60124962,-0.663911868,11.60809122,10.49925778,147.7423764,1
5,@JEnt@,@JEnt@,Post_Novel1_Day1,Original,0.478328301,1.043343398,0.088189485,-1.416217011,-13.19004632,-0.242587867,10.49925778,-0.922261262,159.3309361,1
1,@JEnt@,@JEnt@,Post_Novel1_Day2,Original,0.090001012,1.819997975,0.176889843,-6.11237755,19.5058163,0.06699597,104.4281277,15.81115708,138.4798475,1
2,@JEnt@,@JEnt@,Post_Novel1_Day2,Original,0.169127491,1.661745018,0.142446028,-1.97806981,44.71766458,-0.062634429,15.81115708,16.04423967,153.3185438,1
3,@JEnt@,@JEnt@,Post_Novel1_Day2,Original,0.409920479,1.180159041,0.103215073,18.58511481,13.50555574,0.184015302,16.04423967,11.24423507,146.5560948,1
4,@JEnt@,@JEnt@,Post_Novel1_Day2,Original,0.405629186,1.188741628,0.09828713,5.146209861,23.82291307,-0.696618402,11.24423507,11.22874759,142.7872189,1
5,@JEnt@,@JEnt@,Post_Novel1_Day2,Original,0.326440051,1.347119898,0.111472504,-1.407988257,-5.994182917,-0.272546393,11.22874759,2.806627207,157.9486025,1
1,@JEnt@,@JEnt@,Post_Novel2_Day1,Original,0.03654205,1.9269159,0.166301445,-6.119336737,23.89871216,-0.248350163,97.43327745,10.93454621,135.3491817,1
2,@JEnt@,@JEnt@,Post_Novel2_Day1,Original,0.067526306,1.864947387,0.158033698,-1.980165156,39.90025936,-0.097697471,10.93454621,18.73839675,147.3031052,1
3,@JEnt@,@JEnt@,Post_Novel2_Day1,Original,0.132596128,1.734807744,0.14440246,18.59906217,18.19874848,0.058919939,18.73839675,14.06903959,144.9081431,1
