source,Trans_word_ELP,NovelWord_1,TransNovel_1_ELP,NovelWord_2,TransNovel_2_ELP,LogFreq,UP,NbPhonAfterUP,N_Phon,Pre_UP,Post_UP,DP
agenda,@JEnt@,agenfi,@JEnfi,agento,@JEnto,9.19,3,3,6,@JE,nt@,4
albino,alb!no,albinif,alb!nIf,albinibe,alb!n!b,6.76,4,2,6,alb!,no,5
antenna,antEn@,antennald,antEn@ld,antennakt,antEn@kt,8.8,4,2,6,antE,n@,6
bachelor,baC@l#,bachelove,baC@l@v,bachelok,baC@l@k,7.7,4,2,6,baC@,l#,5
bargain,bArg@n,bargait,bArg@t,bargaip,bArg@p,8.25,4,2,6,bArg,@n,5
bayonet,be@n@t,bayonug,be@nVg,bayonol,be@nAl,6.4,3,3,6,be@,n@t,4
bikini,bIkini,bikineer,bIkinIr,bikinef,bIkinEf,7.24,4,2,6,bIki,ni,5
bramble,brambL,brambo,brambo,brambuy,bramb!,5.59,4,2,6,bram,bL,5
buffalo,bVf@lo,buffaloak,bVf@lok,buffaloal,bVf@lol,9.03,5,1,6,bVf@l,o,6
cabaret,kab#re,cabarix,kab#rIks,cabarunt,kab#rnt,6.53,4,2,6,kab#,re,5
canyon,kanj@n,canyok,kanj@k,canyove,kanj@v,8.35,4,2,6,kanj,@n,5
casino,k@sino,casinige,k@sinIJ,casinap,k@sinAp,8.44,4,2,6,k@si,no,5
chocolate,COkl@t,chocolab,COkl@b,chocolag,COkl@g,9.16,3,3,6,COk,l@t,5
cobalt,kobOlt,cobalve,kobOlv,cobalk,kobOlk,6.06,4,2,6,kobO,lt,5
costume,kAstum,costuke,kAstuk,costute,kAstut,8.13,4,2,6,kAst,um,5
couscous,kuskus,couscall,kuskAl,couscette,kuskEt,5.25,3,3,6,kus,kus,4
crevasse,kr@vas,creval,kr@val,crevaf,kr@vaf,7.38,4,2,6,kr@v,as,5
dolphin,dAlfIn,dolphik,dAlfIk,dolphis,dAlfIs,7.4,4,2,6,dAlf,In,5
dungeon,dVnJ@n,dungeoth,dVnJ@T,dungeok,dVnJ@k,8.17,4,2,6,dVnJ,@n,5
fanfare,fanfEr,fanfairge,fanfErZ,fanfairn,fanfErn,6.69,4,2,6,fanf,Er,6
fiasco,fiasko,fiascot,fiaskot,fiascove,fiaskov,7.21,3,3,6,fia,sko,6
fiesta,fiEst@,fiestak,fiEst@k,fiestav,fiEst@v,6.42,3,3,6,fiE,st@,6
flimsy,flImzi,flimzool,flImzul,flimzark,flImzArk,6.68,4,2,6,flIm,zi,5
flotsam,flAtsm,flotsak,flAts@k,flotsap,flAts@p,5,4,2,6,flAt,sm,5
formula,fOrmj@l@,formubo,fOrmj@bo,formuty,fOrmj@ti,9.37,5,3,8,fOrmj,@l@,6
fortune,fOrC@n,fortuve,fOrC@v,fortudge,fOrC@J,9.68,4,2,6,fOrC,@n,5
kimono,kImono,kimota,kImotA,kimodu,kImodu,4.94,3,3,6,kIm,ono,4
lament,l@mEnt,lamex,l@mEks,lameft,l@mEft,6.55,3,3,6,l@m,Ent,4
lectern,lEkt#n,lecturb,lEkt#b,lectert,lEkt#t,3.18,4,2,6,lEkt,#n,5
libido,lIbito,libidel,lIbitEl,libidat,lIbitIt,6,4,2,6,lIbi,to,5
mayonnaise,me@nez,mayonnote,me@nAt,mayonneure,me@n#,5.56,3,3,6,me@,nez,4
mushroom,mVSrum,mushrood,mVSrud,mushrook,mVSrUk,7.54,4,2,6,mVSr,um,5
napkin,napkIn,napkig,napkIg,napkib,napkIb,5.76,4,2,6,napk,In,5
origin,Or@J@n,origive,Or@J@v,origisse,Or@J@s,9.75,4,2,6,Or@J,@n,5
pagoda,p@got@,pagodax,p@got@ks,pagodalf,p@got@lf,5.58,3,3,6,p@g,ot@,6
parsley,pArsli,parsleyme,pArslim,parsleyve,pArsliv,6.66,5,1,6,pArsl,i,6
pelvis,pElvIs,pelviv,pElvIv,pelvif,pElvIf,6.95,4,2,6,pElv,Is,5
picnic,pIknIk,picnin,pIknIn,picnib,pIknIb,7.23,4,2,6,pIkn,Ik,5
potato,p@teto,potatuck,p@tetUk,potateer,p@tetIr,8.06,4,2,6,p@te,to,5
profile,prof!l,profige,prof!J,profipe,prof!p,9.35,4,2,6,prof,!l,5
pulpit,pUlpIt,pulpim,pUlpIm,pulpidge,pUlpIJ,5.92,4,2,6,pUlp,It,5
rescue,rEskju,rescyo,rEskjo,rescya,rEskj@,9.33,4,2,6,rEsk,ju,5
revenue,rEv@nu,revenyol,rEv@nol,revenyem,rEv@nEm,9.03,5,1,6,rEv@n,u,5
scaffold,skafLd,scaffost,skafost,scaffont,skafont,4.39,4,2,6,skaf,Ld,4
sesame,sEs@mi,sesamo,sEs@mo,sesamuy,sEs@m!,7.68,4,2,6,sEs@,mi,5
shrapnel,SrapnL,shrapno,Srapno,shrapnu,Srapnu,6.19,3,3,6,Sra,pnL,5
silhouette,sIluEt,silhoueb,sIluEb,silhoueff,sIluEf,7.68,4,2,6,sIlu,Et,5
slender,slEnt#,slenderne,slEnt#n,slenderve,slEnt#v,7.5,4,2,6,slEn,t#,6
slogan,slog@n,slogat,slog@t,slogap,slog@p,7.34,4,2,6,slog,@n,5
sonata,s@nAt@,sonatam,s@nAt@m,sonatap,s@nAt@p,6.67,4,2,6,s@nA,t@,6
sovereign,sAvr@n,soverot,sAvrUt,soverep,sAvr@p,7.95,3,3,6,sAv,r@n,4
target,tArg@t,targil,tArgIl,targirk,tArg#k,10.3,4,2,6,tArg,@t,4
thorax,TOraks,thorant,TOrant,thoralt,TOralt,4.63,3,3,6,TOr,aks,4
turquoise,t#kwYz,turquoil,t#kwYl,turquoit,t#kwYt,5.91,4,2,6,t#kw,Yz,5
vaccine,vaksin,vaccik,vaksik,vaccisse,vaksis,8.7,4,2,6,vaks,in,5
