	PHASE	TYPE	ORIGINAL	ACTUAL	UP	DP	position	position_UP	position_DP	phoneme	phon_prob	error
1	Original	Original	@JEnt@	@JEnt@	?	?	1	?	?	@	0.02898	1.94204
2	Original	Original	@JEnt@	@JEnt@	?	?	2	?	?	J	0.02385	1.95229
3	Original	Original	@JEnt@	@JEnt@	?	?	3	?	?	E	0.03846	1.92308
4	Original	Original	@JEnt@	@JEnt@	?	?	4	?	?	n	1.00000	0.00000
5	Original	Original	@JEnt@	@JEnt@	?	?	5	?	?	t	1.00000	0.00000
6	Original	Original	@JEnt@	@JEnt@	?	?	6	?	?	@	1.00000	0.00000
7	Original	Original	alb!no	alb!no	?	?	1	?	?	a	0.02130	1.95740
8	Original	Original	alb!no	alb!no	?	?	2	?	?	l	0.12360	1.75281
9	Original	Original	alb!no	alb!no	?	?	3	?	?	b	0.10204	1.79592
10	Original	Original	alb!no	alb!no	?	?	4	?	?	!	0.10000	1.80000
11	Original	Original	alb!no	alb!no	?	?	5	?	?	n	1.00000	0.00000
12	Original	Original	alb!no	alb!no	?	?	6	?	?	o	1.00000	0.00000
13	Original	Original	antEn@	antEn@	?	?	1	?	?	a	0.02130	1.95740
14	Original	Original	antEn@	antEn@	?	?	2	?	?	n	0.21099	1.57803
15	Original	Original	antEn@	antEn@	?	?	3	?	?	t	0.45181	1.09639
16	Original	Original	antEn@	antEn@	?	?	4	?	?	E	0.04110	1.91781
17	Original	Original	antEn@	antEn@	?	?	5	?	?	n	1.00000	0.00000
18	Original	Original	antEn@	antEn@	?	?	6	?	?	@	0.66667	0.66667
19	Original	Original	baC@l#	baC@l#	?	?	1	?	?	b	0.05860	1.88280
20	Original	Original	baC@l#	baC@l#	?	?	2	?	?	a	0.10526	1.78947
21	Original	Original	baC@l#	baC@l#	?	?	3	?	?	C	0.01293	1.97414
22	Original	Original	baC@l#	baC@l#	?	?	4	?	?	@	1.00000	0.00000
23	Original	Original	baC@l#	baC@l#	?	?	5	?	?	l	1.00000	0.00000
24	Original	Original	baC@l#	baC@l#	?	?	6	?	?	#	1.00000	0.00000
25	Original	Original	bArg@n	bArg@n	?	?	1	?	?	b	0.05860	1.88280
26	Original	Original	bArg@n	bArg@n	?	?	2	?	?	A	0.06942	1.86116
27	Original	Original	bArg@n	bArg@n	?	?	3	?	?	r	0.32895	1.34211
28	Original	Original	bArg@n	bArg@n	?	?	4	?	?	g	0.06122	1.87755
29	Original	Original	bArg@n	bArg@n	?	?	5	?	?	@	1.00000	0.00000
30	Original	Original	bArg@n	bArg@n	?	?	6	?	?	n	1.00000	0.00000
31	Original	Original	be@n@t	be@n@t	?	?	1	?	?	b	0.05860	1.88280
32	Original	Original	be@n@t	be@n@t	?	?	2	?	?	e	0.02813	1.94374
33	Original	Original	be@n@t	be@n@t	?	?	3	?	?	@	0.04918	1.90164
34	Original	Original	be@n@t	be@n@t	?	?	4	?	?	n	0.66667	0.66667
35	Original	Original	be@n@t	be@n@t	?	?	5	?	?	@	1.00000	0.00000
36	Original	Original	be@n@t	be@n@t	?	?	6	?	?	t	1.00000	0.00000
37	Original	Original	bIkini	bIkini	?	?	1	?	?	b	0.05860	1.88280
38	Original	Original	bIkini	bIkini	?	?	2	?	?	I	0.10027	1.79946
39	Original	Original	bIkini	bIkini	?	?	3	?	?	k	0.05882	1.88235
40	Original	Original	bIkini	bIkini	?	?	4	?	?	i	0.15385	1.69231
