Ortho,Phono,LogFreq,Source
agenfi,@JEnfi,9.19,agenda
albinif,alb!nIf,6.76,albino
antennald,antEn@ld,8.8,antenna
bachelove,baC@l@v,7.7,bachelor
bargait,bArg@t,8.25,bargain
bayonug,be@nVg,6.4,bayonet
bikineer,bIkinIr,7.24,bikini
brambo,brambo,5.59,bramble
buffaloak,bVf@lok,9.03,buffalo
cabarix,kab#rIks,6.53,cabaret
canyok,kanj@k,8.35,canyon
casinige,k@sinIJ,8.44,casino
chocolab,COkl@b,9.16,chocolate
cobalve,kobOlv,6.06,cobalt
costuke,kAstuk,8.13,costume
couscall,kuskAl,5.25,couscous
creval,kr@val,7.38,crevasse
dolphik,dAlfIk,7.4,dolphin
dungeoth,dVnJ@T,8.17,dungeon
fanfairge,fanfErZ,6.69,fanfare
fiascot,fiaskot,7.21,fiasco
fiestak,fiEst@k,6.42,fiesta
flimzool,flImzul,6.68,flimsy
flotsak,flAts@k,5,flotsam
formubo,fOrmj@bo,9.37,formula
fortuve,fOrC@v,9.68,fortune
kimota,kImotA,4.94,kimono
lamex,l@mEks,6.55,lament
lecturb,lEkt#b,3.18,lectern
libidel,lIbitEl,6,libido
mayonnote,me@nAt,5.56,mayonnaise
mushrood,mVSrud,7.54,mushroom
napkig,napkIg,5.76,napkin
origive,Or@J@v,9.75,origin
pagodax,p@got@ks,5.58,pagoda
parsleyme,pArslim,6.66,parsley
pelviv,pElvIv,6.95,pelvis
picnin,pIknIn,7.23,picnic
potatuck,p@tetUk,8.06,potato
profige,prof!J,9.35,profile
pulpim,pUlpIm,5.92,pulpit
rescyo,rEskjo,9.33,rescue
revenyol,rEv@nol,9.03,revenue
scaffost,skafost,4.39,scaffold
sesamo,sEs@mo,7.68,sesame
shrapno,Srapno,6.19,shrapnel
silhoueb,sIluEb,7.68,silhouette
slenderne,slEnt#n,7.5,slender
slogat,slog@t,7.34,slogan
sonatam,s@nAt@m,6.67,sonata
soverot,sAvrUt,7.95,sovereign
targil,tArgIl,10.3,target
thorant,TOrant,4.63,thorax
turquoil,t#kwYl,5.91,turquoise
vaccik,vaksik,8.7,vaccine
