Cycle	PhoneInhib	PhoneSum	PhoneSumPos	LexInhib	LexSum	LexSumPos	PWsum	WPsum	Item	Phase	Form	Critical	Set
1	0.000000	-49.500001	0.000000	0.000000	-70.289998	0.000000	0.000000	0.000000	NON	PRE	art^Sa	S	A
2	0.000000	-49.500001	0.000000	0.000000	-70.289998	0.000000	0.000000	0.000000	NON	PRE	art^Sa	S	A
3	0.000000	-49.494727	0.000000	0.000000	-70.289998	0.000000	0.000000	0.000000	NON	PRE	art^Sa	S	A
4	0.000000	-49.471207	0.000000	0.000000	-70.289998	0.000000	0.000000	0.000000	NON	PRE	art^Sa	S	A
5	0.000000	-49.415096	0.000000	0.000000	-70.289998	0.000000	0.000000	0.000000	NON	PRE	art^Sa	S	A
6	0.000000	-49.315582	0.000000	0.000000	-70.289998	0.000000	0.000000	0.000000	NON	PRE	art^Sa	S	A
7	0.000000	-49.164341	0.043077	0.000000	-70.289998	0.000000	0.000000	0.000000	NON	PRE	art^Sa	S	A
8	0.099939	-48.979369	0.189763	0.000000	-70.285855	0.000000	0.004103	0.000000	NON	PRE	art^Sa	S	A
9	0.435828	-48.830686	0.364373	0.000000	-70.267941	0.000000	0.017964	0.000000	NON	PRE	art^Sa	S	A
10	0.818750	-48.723603	0.576936	0.000000	-70.234874	0.018483	0.034047	0.000000	NON	PRE	art^Sa	S	A
11	1.294331	-48.665496	0.774007	0.006096	-70.185819	0.064397	0.053859	0.000525	NON	PRE	art^Sa	S	A
12	1.737725	-48.609433	0.944309	0.051479	-70.135004	0.126766	0.072287	0.001770	NON	PRE	art^Sa	S	A
13	2.121907	-48.489774	1.086289	0.182521	-70.110597	0.198417	0.088237	0.003474	NON	PRE	art^Sa	S	A
14	2.442692	-48.230931	1.255122	0.438903	-70.150974	0.281245	0.101547	0.005436	NON	PRE	art^Sa	S	A
15	2.827642	-47.911786	1.641638	0.846722	-70.108355	0.367998	0.444148	0.007713	NON	PRE	art^Sa	S	A
